ObjectID,Latitude,Longitude,EnterpriseID,RegionalID,GeoID,OperatingStatTypeCode,OperatingFutureStatTypeCode,ServEffectiveDate,StopTypeCode,AtStreet,OnStreet,StopHeading,PositionTypeCode,LocationDesc,MessageText,InventorySurveyorTypeCode,StopInvenSurvDate,BenchCount,InfocaseOwner,BikeRacks,PostedRouteSched,PostedVicinMap,PostedRouteMap,PedPadSizeTypeCode,PedPadMaterialTypeCode,PedPadObstructTypeCode,PedPadCurbConnection,BusRearDoorPedPad,BusRearDoorPedPadObstruction,SidewalkWidth,SidewalkCurbConnection,SidewalkPedPadConnection,SidewalkSlopeWheelchairViable,SidewalkObstructionTypeCode,SidewalkImpedanceTypeCode,NearSideCurbRampSlope,NearSideCurbRamp,FarSideCurbRamp,AtStreetCurbRamp,AtStreetOppCurbRamp,OnStreetNearSideCrosswalk,OnStreetFarSideCrosswalk,AtStreetCrosswalk,AtStreetOppCrosswalk,OnStreetStopSignOrLight,OnStreetPedCrossingSignal,AtStreetPedCrossingSignal,ParkingRestrictTypeCode,NoParkingZoneLength,ConflictingNoParkingSigns,StreetLightWithin30Ft,LEDDisplay,AccessibilityRating
2011,38.848131,-76.925517,1303978,3000709,2700,PRS,NON,"DateObject[{1976, 3, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,SUITLAND RD,SILVER HILL RD,"Quantity[217, ""AngularDegrees""]",FAR,,SILVER HILL RD + SUITLAND RD,KFH Associates,"DateObject[{2006, 7, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,TRUE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[5, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Lane,,,FALSE,,TRUE
2012,39.01609,-76.924376,1310900,3002434,10371,PRS,NON,"DateObject[{1969, 4, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,49TH AVE,EDGEWOOD RD,"Quantity[266, ""AngularDegrees""]",,,EDGEWOOD RD + 49TH AVE,KFH Associates,"DateObject[{2006, 10, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[3, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5.1, ""Percent""]",FALSE,FALSE,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,TRUE,,FALSE
2013,38.800738,-77.26577,1300116,5000378,746,PRS,NON,"DateObject[{1986, 11, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,LAKE BRADDOCK DR,BURKE LAKE RD,"Quantity[219, ""AngularDegrees""]",NEA,75' N OF -,BURKE LAKE RD + LAKE BRADDOCK DR,KFH Associates,"DateObject[{2012, 5, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",FALSE,TRUE,TRUE,NON,NON,"Quantity[4.2, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Lane,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,TRUE
2014,39.020468,-76.976864,1305675,2001130,13679,PRS,NON,"DateObject[{1967, 8, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,ELTON RD,NEW HAMPSHIRE AVE,"Quantity[170, ""AngularDegrees""]",MID,ON TRIANGLE S OF I-495,NEW HAMPSHIRE AVE + ELTON RD,KFH Associates,"DateObject[{2012, 2, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,TRUE,TRUE,58U,CON,NON,TRUE,TRUE,FALSE,"Quantity[5, ""Feet""]",TRUE,TRUE,TRUE,NON,NON,"Quantity[2.8, ""Percent""]",TRUE,FALSE,,TRUE,TRUE,FALSE,E,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,
2015,38.907275,-77.063366,1307693,1001373,6335,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,DUMBARTON ST NW,WISCONSIN AVE NW,"Quantity[162, ""AngularDegrees""]",FAX,FRT OF GEORGETOWN INN,WISCONSIN AVE NW + DUMBARTON ST NW,KFH Associates,"DateObject[{2006, 5, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[4.4, ""Percent""]",FALSE,TRUE,,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,TRUE,,
2016,38.853211,-77.059583,1302911,6000131,2922,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,S HAYES ST,23RD ST S,"Quantity[80, ""AngularDegrees""]",NEA,,23RD ST S + S HAYES ST,KFH Associates,"DateObject[{2007, 2, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,,,,FALSE,E,"Quantity[4, ""Feet""]",FALSE,FALSE,FALSE,NON,,"Quantity[4.3, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Allowed Marked,,,FALSE,,FALSE
2017,38.889731,-76.987868,1307938,1000788,5078,PRS,NON,"DateObject[{1962, 4, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,13TH ST SE,E CAPITOL ST SE,"Quantity[88, ""AngularDegrees""]",FAR,FRT OR #1311,E CAPITOL ST SE + 13TH ST SE,KFH Associates,"DateObject[{2006, 6, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",TRUE,TRUE,FALSE,NON,UPV,"Quantity[4.5, ""Percent""]",FALSE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,Allowed Marked,,TRUE,TRUE,,
2018,38.806509,-77.060754,1304997,4000036,936,PRS,NON,"DateObject[{1992, 6, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,BUS BAY A,KING ST STA,"Quantity[233, ""AngularDegrees""]",ATP,,KING ST STA + BUS BAY A,KFH Associates,"DateObject[{2009, 4, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,TRUE,FALSE,TRUE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[11, ""Feet""]",FALSE,TRUE,FALSE,NON,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,No Parking Lane,,,FALSE,,TRUE
2019,38.797963,-77.17684,1304995,5000360,696,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,COMMERCIAL DR,INDUSTRIAL RD,"Quantity[285, ""AngularDegrees""]",NEA,FRT OF #6840; @ CATCH BASIN,INDUSTRIAL RD + COMMERCIAL DR,KFH Associates,"DateObject[{2012, 3, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,NON,,,,,,,,,,,,,,,,,,
2020,38.973309,-76.96283,1305534,3002679,13593,PRS,NON,"DateObject[{1962, 6, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,HIGHVIEW TER,DEAN DR,"Quantity[101, ""AngularDegrees""]",FAR,,DEAN DR + HIGHVIEW TER,KFH Associates,"DateObject[{2006, 9, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,FALSE,FALSE,NON,,"Quantity[4.7, ""Percent""]",FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
2021,38.782242,-77.014097,1307051,3004076,16242,PRS,NON,"DateObject[{2008, 3, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,WATERFRONT ST,ST GEORGE BLVD,"Quantity[31, ""AngularDegrees""]",FAR,,ST GEORGE BLVD + WATERFRONT ST,KFH Associates,"DateObject[{2009, 7, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,,FALSE,TRUE,TRUE,TRUE,58U,CON,NON,TRUE,TRUE,,"Quantity[5, ""Feet""]",TRUE,TRUE,FALSE,TRC,,"Quantity[3.4, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No Parking Lane,,FALSE,TRUE,,TRUE
2022,38.776016,-77.254682,1304730,5000145,367,PRS,NON,"DateObject[{1985, 6, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,OHARA CT,BLARNEY STONE DR,"Quantity[32, ""AngularDegrees""]",FAR,,BLARNEY STONE DR + OHARA CT,KFH Associates,"DateObject[{2012, 4, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,UPV,"Quantity[4.3, ""Percent""]",FALSE,FALSE,TRUE,E,FALSE,FALSE,FALSE,E,FALSE,FALSE,FALSE,Allowed Unmarked,,FALSE,FALSE,FALSE,FALSE
2023,39.053565,-77.089804,1309337,2000609,10817,PRS,NON,"DateObject[{1974, 9, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,DEWEY RD,RANDOLPH RD,"Quantity[277, ""AngularDegrees""]",FAR,,RANDOLPH RD + DEWEY RD,KFH Associates,"DateObject[{2012, 3, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,FALSE,FALSE,58U,CON,NON,TRUE,TRUE,FALSE,"Quantity[3, ""Feet""]",TRUE,TRUE,TRUE,NON,NON,"Quantity[3.7, ""Percent""]",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,FALSE,FALSE,TRUE
2024,38.983481,-76.971452,1311907,3004277,18430,PRS,NON,"DateObject[{2013, 12, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,LEWISDALE DR,23RD AVE,"Quantity[175, ""AngularDegrees""]",NEA,100' N OF LEWISDALE DR,23RD AVE + LEWISDALE DR,,"DateObject[{1900, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,,,,,,,,,,,,,,,,,,,
2025,38.906153,-76.896439,1301527,3001122,6244,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,CARRINGTON AVE,ML KING HWY,"Quantity[225, ""AngularDegrees""]",NEA,330' E OF ---,ML KING HWY + CARRINGTON AVE,KFH Associates,"DateObject[{2006, 8, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,FALSE,FALSE,NON,,"Quantity[6.9, ""Percent""]",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Lane,,,FALSE,,FALSE
2026,38.845169,-76.988355,1309763,1003472,16162,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,BUS BAY G,CONGRESS HEIGHTS STATION,"Quantity[280, ""AngularDegrees""]",MID,,CONGRESS HEIGHTS STATION + BUS BAY G,KFH Associates,"DateObject[{2006, 12, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",2,WMAT,FALSE,TRUE,FALSE,TRUE,58U,CON,NON,TRUE,FALSE,E,"Quantity[11, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[3.3, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,No Parking Lane,,,TRUE,,TRUE
2027,38.907675,-76.879218,1301234,3001149,6368,PRS,NON,"DateObject[{1979, 4, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,NALLEY RD,BELLE HAVEN DR,"Quantity[165, ""AngularDegrees""]",NEX,OPPO DRWY TO #1309,BELLE HAVEN DR + NALLEY RD,KFH Associates,"DateObject[{2006, 8, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,E,"Quantity[0, ""Feet""]",,E,,,,,FALSE,FALSE,,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,
2028,38.938405,-76.974245,1305324,1002272,18795,PRS,NON,"DateObject[{2014, 12, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,RANDOLPH ST NE,22ND ST NE,"Quantity[179, ""AngularDegrees""]",NEA,,22ND ST NE + RANDOLPH ST NE,KFH Associates,"DateObject[{2006, 8, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,58U,CON,NON,TRUE,TRUE,,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,UPV,"Quantity[2.6, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Allowed Unmarked,,,FALSE,,TRUE
2029,38.731909,-77.047239,1304872,5001871,11905,PRS,NON,"DateObject[{1979, 10, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,COLLINGWOOD RD,GEORGE WASHINGTON MEMORIAL PKY,"Quantity[136, ""AngularDegrees""]",FAR,,GEORGE WASHINGTON MEMORIAL PKY + COLLINGWOOD RD,KFH Associates,"DateObject[{2012, 3, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,NON,EXM,NON,,FALSE,E,"Quantity[0, ""Feet""]",FALSE,FALSE,FALSE,NON,NON,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Lane,"Quantity[150, ""Feet""]",FALSE,FALSE,FALSE,FALSE
2030,38.964287,-76.89717,1311320,3001849,9091,PRS,NON,"DateObject[{1979, 9, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,AUBURN AVE,RIVERDALE RD,"Quantity[90, ""AngularDegrees""]",NEX,,RIVERDALE RD + AUBURN AVE,KFH Associates,"DateObject[{2006, 10, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[5, ""Feet""]",FALSE,FALSE,FALSE,NON,CRK,"Quantity[6.6, ""Percent""]",TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,FALSE,,FALSE
2031,38.860378,-76.983603,1310018,1002976,12303,PRS,NON,"DateObject[{1963, 2, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,BANGOR ST SE,POMEROY RD SE,"Quantity[359, ""AngularDegrees""]",NEX,,HUNTER PL SE + BANGOR ST SE,KFH Associates,"DateObject[{2006, 5, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,,FALSE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,Allowed Unmarked,,,TRUE,,FALSE
2032,39.02454,-76.914978,1311080,3002451,10466,PRS,NON,"DateObject[{1996, 3, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#5320,SUNNYSIDE AVE,"Quantity[295, ""AngularDegrees""]",MID,FRT,SUNNYSIDE AVE + #5320,KFH Associates,"DateObject[{2006, 11, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,E,"Quantity[0, ""Feet""]",,E,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
2033,38.929683,-77.10681,1304296,1002039,7559,PRS,NON,"DateObject[{1971, 6, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,CATHEDRAL AVE NW,MACARTHUR BLVD NW,"Quantity[136, ""AngularDegrees""]",FAR,,MACARTHUR BLVD NW + CATHEDRAL AVE NW,KFH Associates,"DateObject[{2006, 5, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,FALSE,TRUE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[4.8, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,FALSE,,TRUE
2034,38.805557,-77.274142,1300293,5000449,893,PRS,NON,"DateObject[{1979, 3, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,WALLINGFORD DR,LAKE BRADDOCK DR,"Quantity[219, ""AngularDegrees""]",FAR,BET #9510 & 9536,LAKE BRADDOCK DR + WALLINGFORD DR,KFH Associates,"DateObject[{2012, 5, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[3, ""Feet""]",FALSE,TRUE,FALSE,NON,NON,"Quantity[6.6, ""Percent""]",FALSE,FALSE,TRUE,E,FALSE,FALSE,FALSE,E,FALSE,FALSE,FALSE,Allowed Unmarked,,FALSE,FALSE,FALSE,FALSE
